Code;Inbounder;Supplier;Product;ShowWeb;Preferred_service;Beschrijving_kort;Beschrijving_lang;Contact_persoon;Contact_email;Contact_phone;Klant_phone;Klant_email;Locatie_stad;Locatie_straat;Locatie_land;Datum_contact_aangepast
TUNATCNS;PANP;;Cairns Plaza Hotel;0;Incl. Ontbijt;;;;;;;;Cairns;;AU;
CNSQUECNS;PANP;;Cairns Queenslander Apartments;0;Logies;;;;;;;;Cairns;;AU;
CAMBNSN;PANP;;Cambria House;0;Incl. Ontbijt;;;;;;;;Nelson;;NZ;
CAPCAPE;PANP;;Cape Trib Beach House;0;Logies;;;;;;;;Cape Tribulation;;AU;
CAPROC;PANP;;Capricorn Caves;0;Incl. Ontbijt;;;;;;;;Rockhampton;;AU;
CAPDUD;PANP;;Captain Eady's Lookout;0;Incl. Ontbijt;;;;;;;;Dunedin;;NZ;
CAPTAIN;PANP;;Captain's At The Bay Guesthouse;0;Incl. Ontbijt;;;;;;;;Apollo Bay;;AU;
CASPAI;PANP;;Casa Bella Motel;0;Logies;;;;;;;;Paihia;;NZ;
CATLINSFARMS;PANP;;Catlins Country Retreat;0;Incl. Ontbijt;;;;;;;;The Catlins;;NZ;
CWTCAT;PANP;;Catlins Mohua Park;0;Logies;;;;;;;;The Catlins;;NZ;
CAUSMEL;PANP;;Causeway Inn On The Mall;0;Incl. Ontbijt;;;;;;;;Melbourne;;AU;
CAYMAN;PANP;;Cayman Villas;0;Logies;;;;;;;;Port Douglas;;AU;
CERVPINN;PANP;;Cervantes Pinnacles Motel;0;Logies;;;;;;;;Cervantes;;AU;
 CHALETROMPAI;PANP;;Chalet Romantica;0;Incl. Ontbijtproviand;;;;;;;;Paihia;;NZ;
CHANCELLOADL;PANP;;Chancellor Adelaide On Currie;0;Logies;;;;;;;;Adelaide;;AU;
CHATBHE;PANP;;Chateau Marlborough;0;Logies;;;;;;;;Blenheim;;NZ;
CHIFADL;PANP;;Chifley On South Terrace Adelaide;0;Logies;;;;;;;;Adelaide;;AU;
CICKAT;PANP;;Cicada Lodge;0;Incl. Ontbijt;;;;;;;;Katherine;;AU;
QUALITYRECLA1;PANP;;Clare Country Club;0;Logies;;;;;;;;Clare Valley;;AU;
QUALITYRECLA2;PANP;;Clare Country Club;0;Logies;;;;;;;;Clare Valley;;AU;
QUALITYRECLA3;PANP;;Clare Country Club;0;Logies;;;;;;;;Clare Valley;;AU;
 COBDENGAR;PANP;;Cobden Garden B&B;0;Incl. Ontbijt;;;;;;;;Napier;;NZ;
COLLYER0;PANP;;Collyer House;0;Incl. Ontbijt;;;;;;;;Haast;;NZ;
COLLYER1;PANP;;Collyer House;0;Incl. Ontbijt;;;;;;;;Haast;;NZ;
COLLYER2;PANP;;Collyer House;0;Incl. Ontbijt;;;;;;;;Haast;;NZ;
BENVEN;PANP;;Comfort Hotel Benvenue;0;Logies;;;;;;;;Timaru;;NZ;
GAGCOOKAK;PANP;;Cooinda Lodge;0;Logies;;;;;;;;Cooinda;;AU;
KINGTERZQN;PANP;;Copthorne Hotel & Apartments Queenstown Lakeview;0;Logies;;;;;;;;Queenstown;;NZ;
OMAPOMP;PANP;;Copthorne Hotel & Resort Hokianga;0;Logies;;;;;;;;Omapere;;NZ;
COPTANZAKL;PANP;;Copthorne Hotel Auckland City;0;Logies;;;;;;;;Auckland;;NZ;
KINGORIWLG;PANP;;Copthorne Hotel Oriental Bay;0;Logies;;;;;;;;Wellington;;NZ;
CORALCNS;PANP;;Coral Sands Beachfront Resort;0;Logies;;;;;;;;Trinity Beach;;AU;
CORALWSY;PANP;;Coral Sea Marina Resort;0;;;;;;;;;Airlie Beach;;AU;
COROVIEW;PANP;;Coronet View Deluxe B&B;0;Incl. Ontbijt;;;;;;;;Queenstown;;NZ;
SYKIWIBEDTEU;PANP;;Cosy Kiwi B&B;0;Incl. Ontbijt;;;;;;;;Te Anau;;NZ;
CCCLST;PANP;;Country Club Tasmania;0;Logies;;;;;;;;Launceston;;AU;
UNTRYFORTBEL;PANP;;Country Comfort Perth;0;Logies;;;;;;;;Perth;;AU;
x;PANP;;Country Comfort Waters Edge Motel;0;Logies;;;;;;;;Port Macquarie;;AU;
DOHERTY;PANP;;Cradle Mountain Hotel;0;Incl. Ontbijt;;;;;;;;Cradle Mountain;;AU;
CMWCRA;PANP;;Cradle Mountain Wilderness Village;0;Logies;;;;;;;;Cradle Mountain;;AU;
CRAIGSROYBLL;PANP;;Craig's Royal Hotel;0;Incl. Ontbijt;;;;;;;;Ballarat;;AU;
